,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All,Burglary,Larceny,Car Theft
0,"Abilene, TX M.S.A.",0.2946915146886104,0.0705965407695023,0.42849491162292447,0.2879967086090444,0.27739852751655597,0.3611463381549096,0.39399761889649876,0.368355321083009,0.21276810293539328
1,"Albany, GA M.S.A.",0.42743157013872796,0.5030003529827038,0.32347164897024694,0.6778208249048581,0.3359661099131057,0.48835489613094096,0.6303288730917992,0.4665733401017513,0.3177516271325831
2,"Albany-Schenectady-Troy, NY M.S.A.",0.26556602679373026,0.22061418990469467,0.22054885157062293,0.3274248294305207,0.24256421380357537,0.2818695970959637,0.2891752111354092,0.29384415305593237,0.1569710964784023
3,"Albuquerque, NM M.S.A.",0.8125066047843117,0.6794917049064595,0.4673535188044153,0.8636472726025987,0.8185425731456792,0.5959056389665232,0.6410034485610476,0.5507347202001311,0.83807551867127
4,"Alexandria, LA M.S.A.",0.5934210763714962,0.7500882456759619,0.5345684069021288,0.5396509754174237,0.6045603603373699,0.6073189077570228,0.9023862965377827,0.5604810225765543,0.28010545410136023
5,"Allentown-Bethlehem-Easton, PA M.S.A.",0.24451663288740094,0.24708789269325798,0.1869414075217661,0.326396269756917,0.2152581949955979,0.26767880616621653,0.245467152119432,0.27741271088046987,0.23035872545295863
6,"Altoona, PA M.S.A.",0.2055108172405703,0.1323685139428168,0.2289507125828371,0.23999725717420367,0.18616580112541636,0.2373999028454052,0.25859399492621066,0.2414200280199329,0.14666321576747224
7,"Amarillo, TX M.S.A.",0.5991774412356761,0.48535121779032825,0.5324679416490754,0.4169095210340452,0.6630003445151909,0.5942821577161179,0.5167071531195723,0.6305857637545719,0.45724414327506047
8,"Anchorage, AK M.S.A.",0.5018347339055899,0.33533356865513586,0.7845237720155015,0.45462337573284867,0.4758137576399435,0.42516626746305924,0.2825396642220926,0.46296309006654096,0.43371528513054625
9,"Ann Arbor, MI M.S.A.",0.22398273434204294,0.15884221673138016,0.36653118665784473,0.1971406041073816,0.212323435964834,0.2733414305275698,0.2508525235273412,0.2819152280346484,0.2459325887009943
10,"Anniston, AL M.S.A.",0.5804477764537178,0.7412636780797741,0.5503218963000305,0.5849076010559877,0.5667912875936254,0.4826140317093272,0.6931742340751679,0.43765015826073234,0.3416166118220189
11,"Appleton-Oshkosh-Neenah, WI M.S.A.",0.08943844512852578,0.052947405577126724,0.19639350116050705,0.01954263379847087,0.10105778923326235,0.21420172497816858,0.1148718954776343,0.25706902056799247,0.08806515476946766
12,"Asheville, NC M.S.A.",0.31574090859493975,0.2735615954818214,0.19534326853398032,0.4073096307470771,0.2896479565145272,0.34373792474694964,0.4156352718747053,0.3256774984234325,0.3112531805974315
13,"Athens, GA M.S.A.",0.2952070100495818,0.4147546770208259,0.2772614134030688,0.4182809339321835,0.24294700845976203,0.5477097618460586,0.43506107588180626,0.6015802187948791,0.3508040707165436
14,"Atlantic-Cape May, NJ M.S.A.",0.37089891221887206,0.45887751500176494,0.33082327735593436,0.534508177049405,0.30508734098072005,0.5029466673695232,0.3875544066763217,0.5677015226469748,0.2250927429158531
15,"Auburn-Opelika, AL M.S.A.",0.7486710959173619,0.9354041651959053,0.48520747345537046,0.46490897246888596,0.8663919051690042,0.5232890830372517,0.5535873305290933,0.5460812039950503,0.24783730578888355
16,"Austin-San Marcos, TX M.S.A.4",0.3296592833411656,0.3000352982703848,0.48205677557579013,0.3404532519628346,0.29985581401283645,0.42101954426925303,0.38120736180271436,0.4418918588724433,0.3282835922067942
17,"Bakersfield, CA M.S.A.",0.423994934398919,0.49417578538651596,0.28041211128264915,0.3435389309836458,0.4606295696112084,0.3324615760619059,0.4327530595641309,0.28795519007074155,0.4501854858317062
18,"Baltimore, MD M.S.A.4",0.9142310226826539,1.0765972467349099,0.35077769725994307,1.2267288373847154,0.8430414311416217,0.44027637910086725,0.42169381470860307,0.4228110697129671,0.6102937633960437
19,"Bangor, ME M.S.A.",0.09656946428862918,0.0,0.2573069934990601,0.11862721568896353,0.06800985058248589,0.36120501820010503,0.2571514847276636,0.414176669438643,0.1583156026580888
20,"Barnstable-Yarmouth, MA M.S.A.5",0.0,0.11471937875044123,0.3119190900784524,0.08468474646004043,0.0,0.2285392160209042,0.26825881325647627,0.22777520469294063,0.13400244924209073
21,"Beaumont-Port Arthur, TX M.S.A.",0.4598218619864265,0.4324038122132016,0.7005051618933594,0.5780505365652961,0.3765423434688853,0.40909771508706017,0.4832890001865644,0.3864065712590602,0.40671311935517507
22,"Bellingham, WA M.S.A.",0.19468541466017236,0.2647370278856336,0.5177646848777004,0.1525696849178866,0.16562248791006884,0.4347604548525023,0.4466973248167529,0.44966144640069033,0.2695734890271491
23,"Benton Harbor, MI M.S.A.",0.421245625807072,0.49417578538651596,0.7509163279666448,0.1748551445126341,0.4622883464546837,0.38793377878659646,0.4189530453313636,0.3833591358681222,0.33903964164428646
24,"Bergen-Passaic, NJ M.S.A.",0.22226441647213852,0.17649135192375573,0.07246605123034754,0.3685672163746699,0.18157226525117717,0.2051845580331466,0.17915976665955022,0.19514568251159184,0.34038414782397297
25,"Biloxi-Gulfport-Pascagoula, MS M.S.A.",0.2961520848780292,0.5824214613483938,0.5702763162040392,0.48650872561456426,0.1810618723762617,0.5527269057102628,0.6027288446262645,0.5602339332205323,0.3550616736188842
26,"Binghamton, NY M.S.A.",0.15456269239790382,0.03529827038475115,0.21109675793188196,0.14708403332533337,0.14877952303785844,0.23565906150460916,0.17319739117222216,0.27185320036997507,0.07742114751361596
27,"Birmingham, AL M.S.A.",0.49719527565684796,1.041298976350159,0.44844933152693334,0.6329070524908286,0.43332355080323104,0.4463693237936532,0.46982557166679145,0.440217142126072,0.42576029023406753
28,"Bismarck, ND M.S.A.",0.0672721446067586,0.0,0.20269489691966774,0.033256762779853934,0.0630335200520601,0.2675516660682932,0.17132212791411094,0.30820279007809936,0.15036060776161017
29,"Bloomington, IN M.S.A.",0.14940773878819053,0.1500176491351924,0.3686316519108983,0.111770151198272,0.1333401385716656,0.3358356786606397,0.28215499483581336,0.36569224691254976,0.20514923458383624
30,"Boise, ID M.S.A.",0.26041107318401696,0.07942110836569008,0.36338048877826445,0.07954194809202178,0.3117224483546211,0.3682270636084844,0.35365541701046477,0.3881361967512141,0.22643724909553964
31,"Boston, MA-NH M.S.A.",0.0,0.18531591951994353,0.2289507125828371,0.3637672712311858,0.0,0.24196716636311152,0.1960852196558362,0.22511213052248139,0.47774786251528
32,"Brazoria, TX M.S.A.",0.218570033051844,0.18531591951994353,0.426394446369871,0.11519868344361778,0.2272524275561114,0.2500552325925402,0.2862421070650301,0.24408310219039214,0.2054853611287579
33,"Bremerton, WA M.S.A.",0.35543405138973216,0.2912107306741969,0.7719209804971803,0.17965508965611818,0.36301693228362547,0.3645595607837737,0.4295795371273272,0.36394889423395016,0.20492515022055516
34,"Bridgeport, CT M.S.A.",0.45337816997428493,0.39710554182845037,0.2793618786561224,0.5609078753385675,0.42490206836712574,0.31065215926429307,0.2928776539783468,0.2589084635517117,0.7632313413353864
35,"Brockton, MA M.S.A.",0.48516705056751697,0.0705965407695023,0.2741107155234885,0.32879624232865906,0.5638565285628614,0.251131033421122,0.21748245426761822,0.21974480062222582,0.5767931510855209
