,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All Property,Burglary,Larceny,Car Theft
0,"Abilene, TX M.S.A.",0.30252230655021567,0.20836133888963554,0.42715630950925043,0.2121809988559156,0.3175491972381842,0.31986034483337933,0.3622457368810677,0.31270252630792106,0.2032028046092144
1,"Akron, OH M.S.A.",0.21791618630224752,0.24868933996504886,0.3572738866856512,0.30674309463214205,0.16500209712342792,0.2816872016424441,0.3402381415680752,0.26372119311561193,0.22345466661740548
2,"Albany, GA M.S.A.",0.40479344091589137,0.5847560155934931,0.21750904103845264,0.43895491372668094,0.40675678265072146,0.39902739393887915,0.5090109075817421,0.35638273934938847,0.39874274251262676
3,"Albany-Schenectady-Troy, NY M.S.A.",0.22199272802171854,0.10082000268853333,0.18344135991194804,0.28748044549254037,0.20162191738824034,0.2381820210773755,0.18385137944181842,0.2639373059275167,0.144226098355631
4,"Albuquerque, NM M.S.A.",0.4794585208304127,0.3898373437289955,0.3913415678121558,0.36277989212916517,0.5275808989314251,0.3445132804869182,0.3305088457608632,0.3287711494989614,0.5328429098641622
5,"Alexandria, LA M.S.A.",0.45628659947763023,0.3898373437289955,0.20178549590314285,0.3861285577529248,0.5074612883789554,0.40612793458801527,0.43200227471653985,0.40378772026662724,0.2918731193477807
6,"Allentown-Bethlehem-Easton, PA-NJ M.S.A.",0.16320470533040002,0.23524667293991106,0.17732664791488312,0.2731793877979876,0.11805633916766554,0.2032010262978204,0.15516611246778736,0.22349878506462148,0.14737334718122821
7,"Altoona, PA M.S.A.",0.17421851980054973,0.05377066810055111,0.33194150841209646,0.14534544350790365,0.16500209712342792,0.16019986916612758,0.15272481315084854,0.1675764168546636,0.0930490957133103
8,"Amarillo, TX M.S.A.",0.3669602730281694,0.3831160102164266,0.35640035640035617,0.2886478787737284,0.3915340085290116,0.42556378558029595,0.40827140929747296,0.4310179345666339,0.3899851805631388
9,"Ames, IA M.S.A.",0.21419723596167753,0.07393466863825778,0.36426212896801113,0.03619043171682742,0.2601710486255857,0.22354765647672742,0.17182439015984044,0.24994082322709307,0.11398514224880511
10,"Anchorage, AK M.S.A.",0.5813720638171875,0.2822960075278933,0.750362515068397,0.433409605641038,0.6114658360496581,0.3100451516571138,0.14938597732032932,0.3576539911841227,0.37876455431535727
11,"Anderson, IN M.S.A.",0.14718461155563684,0.15459067078908442,0.2917591152885269,0.20605197412967868,0.10592070105665213,0.29656031418521756,0.30448028686703027,0.2917014459981119,0.2888627074276442
12,"Anderson, SC M.S.A.",0.41909709607192996,0.356230676166151,0.31796502384737657,0.22152046510541945,0.49862569221041064,0.41628798590290633,0.46585735200879425,0.38667667057110466,0.5041071597174046
13,"Ann Arbor, MI M.S.A.",0.24208936351595273,0.09409866917596442,0.37736508324743595,0.2037171075673027,0.2384546435848249,0.2399593668687533,0.2368419352036079,0.2389317823382948,0.2386435631235488
14,"Appleton, WI M.S.A.",0.11142547366554043,0.0,0.186935481053128,0.04027644820098535,0.12827582389272946,0.18893804738492287,0.13588702815607942,0.21715523840929776,0.06841845273037522
15,"Asheville, NC M.S.A.",0.16427747946710292,0.12770533673880888,0.19042960219430796,0.1748231338579002,0.15552778315956658,0.21707493449021725,0.2691173482319607,0.19512444411335395,0.23303324999965802
16,"Athens-Clarke County, GA M.S.A.",0.2681220158999429,0.2822960075278933,0.1712119359178182,0.20576011580938167,0.2986005693104615,0.33987980190641087,0.36547686832995735,0.3290126873475609,0.3249876504692823
17,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",0.29594262517843795,0.41000134426670215,0.18256782962665305,0.43691190548460196,0.2523999821159017,0.30618097200123273,0.34357697739859444,0.27150125434418526,0.5062965502047766
18,"Atlantic City-Hammonton, NJ M.S.A.",0.3789038250834616,0.537706681005511,0.1650972239207532,0.7165121763291235,0.27411638715666253,0.31393585886211994,0.26620932992796004,0.3414201052545668,0.16844623062218378
19,"Augusta-Richmond County, GA-SC M.S.A.",0.29529896069641615,0.6855760182820265,0.3267003267003265,0.45705012958509467,0.22216733980425424,0.4257936910060463,0.4865006918211445,0.38616816983721103,0.5781359255716706
20,"Austin-Round Rock-San Marcos, TX M.S.A.",0.23450842628325225,0.22852533942734218,0.2157619804678627,0.24516098904947603,0.22972550038216616,0.3353082209405287,0.2708047168774919,0.36445518849995073,0.23371743452696175
21,"Bakersfield-Delano, CA M.S.A.",0.42410337537654347,0.6049200161311998,0.17383252677370314,0.43311774732074104,0.44252497918844513,0.3283314755206426,0.41214876703614045,0.24555500439726002,0.8669986329993149
22,"Baltimore-Towson, MD M.S.A.",0.49011474392166143,0.6922973517945955,0.2061531473296178,0.625744238716758,0.46519946092218073,0.27329565360255587,0.2331799862281997,0.2714758293074906,0.41831041999351415
23,"Bangor, ME M.S.A.",0.048918500633651905,0.13442667025137775,0.11006481594716883,0.07938546312078272,0.028316488925697957,0.2739588423306819,0.2058230732942677,0.3088252082119817,0.13095291852593818
24,"Barnstable Town, MA M.S.A.",0.31081842654071806,0.03360666756284444,0.3153444329914917,0.1681103924910693,0.3622594429103389,0.2628703267964145,0.40087570842557,0.22433781127554606,0.12520576849658666
25,"Battle Creek, MI M.S.A.",0.4989114918426252,0.3024600080655999,0.6577683048271279,0.31987671904550685,0.5411004255989575,0.3274825939486413,0.4112871319831032,0.3065115298727654,0.2008765772163817
26,"Bay City, MI M.S.A.",0.23972926041520634,0.06049200161311999,0.6822271528153877,0.1482640267108736,0.21844148599824134,0.2186223748558447,0.21903481077417186,0.22585060095887977,0.11726922797986314
27,"Beaumont-Port Arthur, TX M.S.A.",0.35637556821270083,0.3763946767038577,0.3293209175562115,0.4608442877489556,0.31616530868166515,0.3417897854434139,0.4153439970244869,0.31633830655526085,0.3011780289191117
28,"Bellingham, WA M.S.A.",0.19095379633311485,0.1680333378142222,0.3904680375268609,0.14768031007027962,0.18001196531336555,0.28276598864019586,0.24922793909101806,0.30162992282738604,0.1789826723426616
29,"Bend, OR M.S.A.2",0.21805922285380794,0.2890173410404622,0.2533237827355473,0.09018422097177155,0.25623228888780064,0.26294990944378954,0.1786097662025086,0.30004085803396824,0.1587308103344705
30,"Billings, MT M.S.A.",0.15605287775238075,0.12770533673880888,0.17208546620311316,0.08347147960494065,0.1787345297227326,0.33625437019265514,0.23432883296558268,0.36526878967418064,0.3786277174098965
31,"Binghamton, NY M.S.A.",0.15834146257734694,0.1680333378142222,0.17732664791488312,0.1488477433514676,0.1571245776478578,0.22165535797247443,0.16281312356349276,0.25585214425860714,0.05555578361706469
32,"Bismarck, ND M.S.A.",0.1634192601577406,0.12098400322623998,0.29001205471793695,0.049615914450489206,0.1878894847889357,0.15694582314012245,0.0788037058923631,0.18473831662357543,0.1397104804754262
33,"Blacksburg-Christiansburg-Radford, VA M.S.A.",0.123512062272393,0.20836133888963554,0.24982966159436734,0.0744238716757338,0.12295317559842533,0.22416663262297842,0.17925599249228652,0.24822463325020186,0.11384830534334436
34,"Bloomington, IN M.S.A.",0.1825146397910521,0.14114800376394665,0.25681790387672726,0.14184314366433973,0.1863991432665305,0.26566456197091887,0.2664606401517626,0.27042069028466115,0.18486665927747384
35,"Bloomington-Normal, IL M.S.A.2",0.2652612848687352,0.040328001075413324,0.3957092192386307,0.2174344486212615,0.26655822657875067,0.21338760516183644,0.21257254787639268,0.22263433381700223,0.09551216001160381
36,"Boise City-Nampa, ID M.S.A.",0.1547655487883373,0.10754133620110222,0.2943797061444119,0.05311821429405314,0.17330542846254238,0.18276597095516317,0.1437494480150441,0.20178580372736116,0.10837482912491436
37,"Boston-Cambridge-Quincy, MA-NH M.S.A.",0.29036419966758287,0.23524667293991106,0.19741784447666794,0.29915477830442017,0.2954069803338791,0.19360689603093026,0.16460819659065365,0.19937042524136617,0.22263364518464093
38,"Boston-Quincy, MA M.D.",0.4042212947096499,0.3898373437289955,0.23497964674435248,0.47572906208410237,0.39334370894907494,0.2129720068922108,0.17807124429436033,0.21832479009725328,0.26696880255392413
39,"Cambridge-Newton-Framingham, MA M.D.",0.21183713286093117,0.08737733566339555,0.14937367878544341,0.1797847253029491,0.23004485927982438,0.17305688797539784,0.1485961451883785,0.18154747451839254,0.15749927818532378
40,"Peabody, MA M.D.",0.26132777970082455,0.19491867186449774,0.18606195076783302,0.2095542739732426,0.2867842900971063,0.1944115650210565,0.18596956561386827,0.18447135373828122,0.3140406980324223
41,"Rockingham County-Strafford County, NH M.D.",0.10348694505393902,0.09409866917596442,0.2157619804678627,0.07763431319900076,0.09793672861519594,0.1772924533190295,0.12278299505780492,0.2027900926768012,0.09263858499692805
42,"Boulder, CO M.S.A.",0.14146314949322142,0.15459067078908442,0.1650972239207532,0.0685867052697939,0.16297949077159235,0.2018746488415683,0.13915406106551223,0.22905415558241,0.1280793435112624
43,"Bowling Green, KY M.S.A.",0.10942296194369502,0.0,0.3432974021209313,0.1433024352658247,0.06876861596240931,0.2481121669665162,0.2331799862281997,0.25697084587317326,0.1847298223720131
44,"Bremerton-Silverdale, WA M.S.A.",0.30245078827443544,0.026885334050275555,0.5983682454270686,0.14038385206285472,0.3255331696796404,0.24284202720700787,0.25432594648815493,0.23908433255846293,0.2152444522897605
45,"Bridgeport-Stamford-Norwalk, CT M.S.A.",0.20203912907904475,0.25541067347761776,0.13976484564719852,0.3227953022484768,0.16191496111273151,0.1576266969009985,0.13315851715479485,0.15588089997510887,0.2538324596296921
46,"Brownsville-Harlingen, TX M.S.A.",0.23930015076052522,0.18147600483935997,0.2192561016090427,0.2296924980737353,0.24281921518615424,0.40683533589801646,0.3193075900713792,0.4511545636288239,0.2224968082791802
47,"Brunswick, GA M.S.A.",0.4064383612588358,0.39655867724156435,0.22362375303551763,0.43691190548460196,0.4120794309450255,0.4688921158178643,0.5491128390085165,0.4572438599172007,0.24124346432730306
48,"Buffalo-Niagara Falls, NY M.S.A.",0.3459338999487927,0.41000134426670215,0.22624434389140255,0.5087090522776628,0.2954069803338791,0.2740737950435571,0.266855556217738,0.27565824784376614,0.2569797084552894
